age_months,L,M,S
195,1.7474,171.7546,0.0327
196,1.6096,171.8752,0.0325
197,1.4707,171.996,0.0324
198,1.3966,172.0897,0.0323
199,1.3226,172.1836,0.0323
200,1.2488,172.2775,0.0322
201,1.1751,172.3716,0.0322
202,1.1016,172.4658,0.0321
203,1.0282,172.56,0.0321
204,0.9751,172.6404,0.0321
205,0.9218,172.7207,0.0321
206,0.8685,172.8009,0.0321
207,0.815,172.8812,0.0321
208,0.7614,172.9614,0.0321
209,0.7077,173.0416,0.0321
210,0.6595,173.1222,0.0321
211,0.611,173.2027,0.0321
212,0.5623,173.2832,0.0321
213,0.5134,173.3636,0.032
214,0.4642,173.444,0.032
215,0.4148,173.5244,0.032
216,0.3638,173.6037,0.032
217,0.3126,173.683,0.032
218,0.2611,173.7622,0.032
219,0.2094,173.8413,0.032
220,0.1573,173.9204,0.032
221,0.105,173.9995,0.032
222,0.0449,174.0764,0.032
223,-0.0155,174.1532,0.032
224,-0.0764,174.23,0.032
225,-0.1377,174.3067,0.0319
226,-0.1994,174.3833,0.0319
227,-0.2615,174.4598,0.0319
