age_months,L,M,S
184,0.2654,61.2081,0.1563
185,0.2613,61.4825,0.1549
186,0.2514,61.7129,0.1537
187,0.2412,61.9434,0.1525
188,0.231,62.1739,0.1513
189,0.2207,62.4045,0.1501
190,0.2102,62.6351,0.1489
191,0.1996,62.8658,0.1477
192,0.1829,63.055,0.1468
193,0.166,63.2442,0.1459
194,0.1489,63.4335,0.145
195,0.1316,63.6229,0.1441
196,0.1141,63.8123,0.1432
197,0.0964,64.0018,0.1424
198,0.0862,64.1526,0.1418
199,0.0759,64.3033,0.1413
200,0.0655,64.4539,0.1407
201,0.055,64.6045,0.1402
202,0.0444,64.7551,0.1397
203,0.0337,64.9057,0.1391
204,0.0282,65.0469,0.1387
205,0.0226,65.188,0.1382
206,0.0169,65.3291,0.1377
207,0.0113,65.4702,0.1373
208,0.0055,65.6113,0.1368
209,-0.0003,65.7523,0.1364
210,-0.0068,65.8907,0.1359
211,-0.0134,66.0291,0.1355
212,-0.02,66.1674,0.1351
213,-0.0267,66.3057,0.1346
214,-0.0335,66.4439,0.1342
215,-0.0403,66.5821,0.1338
216,-0.0469,66.7186,0.1334
217,-0.0535,66.8551,0.133
218,-0.0602,66.9915,0.1326
219,-0.0669,67.1278,0.1322
220,-0.0738,67.2641,0.1318
221,-0.0807,67.4004,0.1314
222,-0.0859,67.5362,0.1311
223,-0.0911,67.6719,0.1307
224,-0.0965,67.8077,0.1303
225,-0.1018,67.9434,0.1299
226,-0.1072,68.079,0.1296
227,-0.1127,68.2146,0.1292
