age_months,L,M,S
181,-0.1852,52.6832,0.1417
182,-0.1857,52.8033,0.1409
183,-0.1862,52.9233,0.1402
184,-0.1867,53.0434,0.1395
185,-0.1871,53.1634,0.1388
186,-0.1901,53.2482,0.1382
187,-0.193,53.3331,0.1377
188,-0.196,53.4179,0.1371
189,-0.199,53.5027,0.1366
190,-0.2019,53.5875,0.1361
191,-0.2049,53.6723,0.1355
192,-0.21,53.7253,0.1351
193,-0.2151,53.7783,0.1346
194,-0.2202,53.8313,0.1342
195,-0.2253,53.8843,0.1338
196,-0.2305,53.9373,0.1334
197,-0.2357,53.9903,0.1329
198,-0.2499,54.0055,0.1326
199,-0.2643,54.0208,0.1323
200,-0.2788,54.036,0.1319
201,-0.2934,54.0512,0.1316
202,-0.3081,54.0663,0.1312
203,-0.323,54.0815,0.1309
204,-0.3423,54.0797,0.1306
205,-0.3619,54.0778,0.1303
206,-0.3816,54.0759,0.13
207,-0.4016,54.0739,0.1298
208,-0.4217,54.0719,0.1295
209,-0.4421,54.0698,0.1292
210,-0.4627,54.0634,0.1289
211,-0.4836,54.057,0.1286
212,-0.5046,54.0505,0.1284
213,-0.5259,54.0439,0.1281
214,-0.5474,54.0373,0.1278
215,-0.5691,54.0306,0.1275
216,-0.5908,54.0217,0.1273
217,-0.6128,54.0126,0.127
218,-0.6351,54.0036,0.1267
219,-0.6575,53.9944,0.1264
220,-0.6801,53.9852,0.1261
221,-0.703,53.976,0.1258
222,-0.7262,53.9649,0.1256
223,-0.7497,53.9539,0.1253
224,-0.7734,53.9427,0.125
225,-0.7973,53.9315,0.1247
226,-0.8215,53.9203,0.1244
227,-0.8458,53.909,0.1241
